"[""['Disaster CalFresh Application Deadline Extended'"", "" '15-03-2024'""]","['friday', 'disaster', 'challenges']"
"[""['The Looming Home Care Disaster In New York State'"", "" '18-03-2024'""]","['new yorkers', 'extreme seriousness', 'joanna ciampaglione']"
"[""['Work is underway to reforest Lahaina after the wildfire disaster'"", "" '21-03-2024'""]","['disaster', 'native plants', 'wildfire']"
"[""['FEMA To Reopen Disaster Response Program To Include COFA Citizens'"", "" '16-03-2024'""]","['migrants', 'micronesian migrants', 'wildfires']"
"[""['Over 500 first responders participate in annual Hale County disaster drill'"", "" '15-03-2024'""]","['firefighters', 'disaster', 'real disaster']"
"[""['Disaster & Humanitarian Response: Annual Report 2023 - World'"", ' None']","['conflict', 'countries', 'disaster']"
"['[""FEMA\'s Maine disaster recovery centers closing this week""', "" '18-03-2024'""]","['centers', 'recovery', 'disaster']"
"[""['Small Business Administration opens Disaster Loan Outreach Center in Fritch'"", "" '20-03-2024'""]","['disaster damage', 'disaster recovery', 'economic injury']"
"[""['Hot Springs Village Nutrition devastated by storm: second disaster hit in two years'"", ' None']","['second disaster', 'disaster', 'pounding']"
"[""['Carter County residents prepare for storm season with severe weather and disaster preparedness event'"", "" '17-03-2024'""]","['preparedness', 'disaster', 'severe weather']"
"[""['Amazon launches first Disaster Relief Hub in Europe to speed up support during humanitarian crises'"", "" '15-03-2024'""]","['damaging storms', 'hurricanes', 'hurricane alerts']"
"[""['Clear Creek County issues disaster declaration in Colorado snowstorm'"", "" '14-03-2024'""]","['disaster declaration', 'snowstorm', 'colorado snowstorm']"
"[""['Arena would be a disaster'"", "" '14-03-2024'""]","['pile', 'deep foundations', 'disaster']"
"[""['Could Beavers Help Save Us from Climate Disaster?'"", ' None']","['migrating birds', 'floodwaters', 'swamp']"
"[""['SBA opens third disaster loan outreach center in Texas Panhandle'"", ' None']","['economic injury', 'wildfires', 'disaster declarations']"
"[""['Disaster Declaration still in effect in Teller County"", "" county crews say they are making progress after massive snowstorm'""]","['additional snow', 'excessive snowfall', 'massive snowstorm']"
"[""['Steven Rubinyi'"", ' None']","['bangladesh', 'disaster', 'developing countries']"
"[""['Changes ahead for Maine storm disaster recovery centers'"", "" '20-03-2024'""]","['recovery', 'maine', 'disaster']"
"[""['The Biden-Harris day care disaster'"", "" '18-03-2024'""]","['inflation', 'union workers', 'married mothers']"
"[""['Disaster declaration approved for Washington cherry growers'"", "" '18-03-2024'""]","['disaster declaration', 'kate prengaman', 'neighboring counties']"
"[""['What is the Sendai Gender Action Plan?'"", "" '18-03-2024'""]","['recovery', 'stakeholders', 'disaster preparedness']"
"[""['Amazon opens emergency supply facility in Germany'"", ' None']","['cleaning items', 'wildfires', 'damaging storms']"
"[""['SBA Disaster Loan Outreach Center to Close in Kahului : Maui Now'"", ' None']","['economic injury', 'high winds', 'honoapiilani hwy']"
"[""['Church faces new hurdle to secure disaster aid'"", "" '19-03-2024'""]","['church', 'new hurdle', 'disaster']"
"[""['Remember the Silicon Valley Bank Disaster?'"", "" '15-03-2024'""]","['freak', 'complacency', 'solvency']"
"[""['LDWF Is Announcing the Launch of the New Marine Aquaculture Grant Program Under 2019 Flood Disaster Assistance Funding'"", ' None']","['jason froeba', 'territorial waters', 'atmospheric administration']"
"[""['USDA declares Washington 2023 cherry harvest a disaster"", ' farmers can receive $500']","['disaster', 'canada nunavut', 'canada saskatchewan']"
"[""['FEMA centers wrapping up Maine operations as deadline looms to apply for storm disaster recovery'"", "" '20-03-2024'""]","['fema centers', 'maine', 'recovery']"
"[""['Myths vs. Facts Regarding FEMA Disaster Assistance'"", "" '15-03-2024'""]","['disaster survivors', 'stamps', 'qualified applicants']"
"[""['Disaster declaration still in place for Teller County'"", "" '19-03-2024'""]","['declaration', 'teller county', 'disaster declaration']"
"[""['Modern Voice Platforms Make the Difference When Confronting Disasters'"", ' None']","['disasters', 'disaster', 'fraud']"
"[""['HNN Investigates: Lahaina disaster highlights lack of safety equipment"", "" fire training for Maui officers'""]","['maui officers', 'maui police', 'emergency responders']"
"[""['Mysterious Google Maps mark under Bay Bridge reveals site of Bay Area disaster'"", "" '19-03-2024'""]","['disaster', 'mph', 'firefighting boats']"
"['[\'Hawaii Sen. Brian Schatz slams Congress for ""failing"" Maui wildfire survivors\'', ' None']","['achievement', 'recovery', 'disaster survivors']"
"[""['Clear Creek"", "" Gilpin counties declare local disaster emergency'""]","['disaster', 'snowstorm', 'afternoon']"
"[""['Disaster teams respond to storm damage'"", ' None']","['damage', 'disaster teams', 'storm damage']"
"[""['Seattle Law Mandating Higher Delivery Driver Pay Is a Disaster'"", "" '16-03-2024'""]","['floor', 'uber eats', 'worry']"
"[""['Improving cell service for disaster recovery'"", ' None']","['disasters', 'recovery', 'disaster recovery']"
"['[""FEMA\'s Disaster Recovery Center for Ionia residents to close March 23""', ' None']","['400 trees', 'severe storms', 'tornadoes']"
